corpus_id	text	dbpedia_uri	note
0	pittsburgh steelers the pittsburgh steelers are a professional american football team based in pittsburgh the steelers compete in the national football league nfl as a member club of the american football conference afc north division founded in 1933 the steelers are the seventh oldest franchise in the nfl and the oldest franchise in the afc	http://dbpedia.org/resource/Pittsburgh_Steelers	The Pittsburgh Steelers are a professional American football team based in Pittsburgh. The Steelers compete in the National Football League (NFL) as a member club of the American Football Conference (AFC) North division. Founded in 1933, the Steelers are the seventh-oldest franchise in the NFL, and the oldest franchise in the AFC.
1	zora lancaster the avro lancaster is a british second world war heavy bomber it was designed and manufactured by avro as a contemporary of the handley page halifax both bombers having been developed to the same specification as well as the short stirling all three aircraft being four engined heavy bombers adopted by the royal air force raf during the same wartime era	http://dbpedia.org/resource/Avro_Lancaster	The Avro Lancaster is a British Second World War heavy bomber. It was designed and manufactured by Avro as a contemporary of the Handley Page Halifax, both bombers having been developed to the same specification, as well as the Short Stirling, all three aircraft being four-engined heavy bombers adopted by the Royal Air Force (RAF) during the same wartime era.
2	seoul seoul sol korean sul lit capital officially known as the seoul special city is the capital and largest metropolis of south korea according to the 2020 census seoul has a population of 9 9 million people and forms the heart of the seoul capital area with the surrounding incheon metropolis and gyeonggi province considered to be a global city and rated as an alpha city by globalization and world cities research network gawc seoul was the world s fourth largest metropolitan economy in 2014 following tokyo new york city and los angeles	http://dbpedia.org/resource/Seoul	Seoul (/soʊl/; Korean: [sʰʌul]; lit. 'Capital'), officially known as the Seoul Special City, is the capital and largest metropolis of South Korea. According to the 2020 census, Seoul has a population of 9.9 million people, and forms the heart of the Seoul Capital Area with the surrounding Incheon metropolis and Gyeonggi province. Considered to be a global city and rated as an Alpha – City by Globalization and World Cities Research Network (GaWC), Seoul was the world's fourth largest metropolitan economy in 2014, following Tokyo, New York City and Los Angeles.
3	lihue airport lihue airport iata lih icao phli faa lid lih is a state owned public use airport located in the lhue cdp on the southeast coast of the island of kauai in kauai county hawaii united states two nautical miles east of the center of the cdp it is included in the federal aviation administration faa national plan of integrated airport systems for 20172021 in which it is categorized as a small hub primary commercial service facility	http://dbpedia.org/resource/Lihue_Airport	Lihue Airport (IATA: LIH, ICAO: PHLI, FAA LID: LIH) is a state-owned public-use airport located in the Līhuʻe CDP on the southeast coast of the island of Kauaʻi in Kauai County, Hawaiʻi, United States, two nautical miles east of the center of the CDP. It is included in the Federal Aviation Administration (FAA) National Plan of Integrated Airport Systems for 2017–2021, in which it is categorized as a small-hub primary commercial service facility.
4	waxhaws the waxhaws is a geographical region extending beyond both sides of the border between what now is north carolina and south carolina united states it encompasses the areas currently known as lancaster union and mecklenburg counties the name is derived from that of the indigenous people who first inhabited the landbase the waxhaw people much of the area is now the territory of the catawba indian nation	http://dbpedia.org/resource/Waxhaws	The Waxhaws is a geographical region extending beyond both sides of the border between what now is North Carolina and South Carolina, United States. It encompasses the areas currently known as Lancaster, Union and Mecklenburg counties. The name is derived from that of the Indigenous people who first inhabited the landbase, the Waxhaw people. Much of the area is now the territory of the Catawba Indian Nation.
5	manatee county manatee county is a county in the central florida portion of the u s state of florida as of the 2020 us census the population was 399 710 manatee county is part of the north port sarasota bradenton metropolitan statistical area its county seat and largest city is bradenton the county was created in 1855 and named for the florida manatee florida s official marine mammal features of manatee county include access to the southern part of the tampa bay estuary the sunshine skyway bridge and the manatee river	http://dbpedia.org/resource/Manatee_County,_Florida	Manatee County is a county in the Central Florida portion of the U.S. state of Florida. As of the 2020 US Census, the population was 399,710. Manatee County is part of the North Port-Sarasota-Bradenton Metropolitan Statistical Area. Its county seat and largest city is Bradenton. The county was created in 1855 and named for the Florida manatee, Florida's official marine mammal. Features of Manatee County include access to the southern part of the Tampa Bay estuary, the Sunshine Skyway Bridge, and the Manatee River.
6	eurasia eurasia jre also uk is the largest continental area on earth comprising all of europe and asia primarily in the northern and eastern hemispheres it spans from the british isles and the iberian peninsula in the west to the japanese archipelago and the russian far east to the east the continental landmass is bordered by the atlantic ocean and africa to the west the pacific ocean to the east the arctic ocean to the north and by africa the mediterranean sea and the indian ocean to the south the division between europe and asia as two continents is a historical social construct as many of their borders are over land thus in some parts of the world eurasia is recognized as the largest of the six five or four continents on earth in geology eurasia is often cons	http://dbpedia.org/resource/Eurasia	Eurasia (/jʊəˈreɪʒə/, also UK: /-ʃə/) is the largest continental area on Earth, comprising all of Europe and Asia. Primarily in the Northern and Eastern Hemispheres, it spans from the British Isles and the Iberian Peninsula in the west to the Japanese archipelago and the Russian Far East to the east. The continental landmass is bordered by the Atlantic Ocean and Africa to the west, the Pacific Ocean to the east, the Arctic Ocean to the north, and by Africa, the Mediterranean Sea, and the Indian Ocean to the south. The division between Europe and Asia as two continents is a historical social construct, as many of their borders are over land; thus, in some parts of the world, Eurasia is recognized as the largest of the six, five, or four continents on Earth. In geology, Eurasia is often cons
7	near east		
8	middle east		
9	levant the levant lvnt is an approximate historical geographical term referring to a large area in the eastern mediterranean region of western asia in its narrowest sense which is in use today in archaeology and other cultural contexts it is equivalent to a stretch of land bordering the mediterranean in south western asia i e the historical region of syria greater syria which includes present day israel jordan lebanon palestine syria and most of turkey southwest of the middle euphrates its overwhelming characteristic is that it represents the land bridge between africa and eurasia in its widest historical sense the levant included all of the eastern mediterranean with its islands that is it included all of the countries along the eastern mediterranean shores extending f	http://dbpedia.org/resource/Levant	The Levant (/ləˈvænt/) is an approximate historical geographical term referring to a large area in the Eastern Mediterranean region of Western Asia. In its narrowest sense, which is in use today in archaeology and other cultural contexts, it is equivalent to a stretch of land bordering the Mediterranean in South-western Asia, i.e. the historical region of Syria (\"Greater Syria\"), which includes present-day Israel, Jordan, Lebanon, Palestine, Syria and most of Turkey southwest of the middle Euphrates. Its overwhelming characteristic is that it represents the land bridge between Africa and Eurasia. In its widest historical sense, the Levant included all of the Eastern Mediterranean with its islands; that is, it included all of the countries along the Eastern Mediterranean shores, extending f
