query_id	query
0	what team does plaxico burress play for
1	when is portland marathon
2	where is kia cars made
3	what airport is in kauai hawaii
4	where did president andrew jackson grew up
5	what county is bradenton fl located in
6	where is the nation of palestine
7	what happened during william henry harrison presidency
8	what two countries is the us at war with
9	who is playing jason morgan on general hospital
10	what age do scottish people go to university
11	where did pres obama go to high school
12	what airport does southwest fly to in denver
13	who was the emperor before nero
14	what did doctor kevorkian do
15	who played michael myers in halloween 4
16	what year did scottie pippen come into the nba
17	what year was peyton manning s rookie year
18	when was mary poppins made
19	what battle did germany surrender in ww2
20	who played laura ingalls mother
21	what colleges did alice walker attend
22	what type of currency does egypt have
23	where is american express located
24	what influenced abraham lincoln to become president
25	who did johnny bench play for
26	what is the money currency in switzerland
27	where was stephen g breyer born
28	what super bowls have the giants won
29	what colony is john adams from
30	what is the money currency in italy
31	who played daniel larusso
32	who was mendel and what did he develop
33	what date did we invade iraq
34	what kind of money does argentina use
35	what countries make up continental europe
36	what continent does the amazon river flow through
37	what instruments does john williams use
38	who is sanjay gupta married too
39	what countries and seas border ukraine
40	what state was texaco gas founded
41	where to go in florida for vacation
42	when did kennedy get elected
43	what countries share borders with france
44	when was reagan inaugurated
45	what teams does kroenke own
46	who do roman catholics give authority to
47	what style of art did van gogh produce
48	who voices anakin in the clone wars
49	what is the current time in nigeria lagos
50	what children s books did suzanne collins wrote
51	what is the president of brazil
52	what zip code is chicago il
53	what four regions make up the united kingdom
54	what continent is mexico located on
55	what country was dmitri mendeleev born
56	what is the currency in slovakia 2012
57	who plays sarah marshall
58	what year doug williams won the super bowl
59	what things did thomas edison invent
60	where the queen of denmark lives
61	what to do in hong kong for a week
62	what book did jacob riis wrote
63	what nationality is zack de la rocha
64	what are dollars called in spain
65	what year was kevin durant drafted
66	where john tyler was born
67	what is there fun to do in san diego
68	what products are made in the usa
69	what is st francis patron saint of
70	what does nazis stand for
71	who played elaine on doc martin
72	where did rich rodriguez get fired
73	what planet was luke skywalker raised on
74	where did the loma prieta earthquake occur
75	what character did liv tyler play in lord of the rings
76	what is the houston rockets mascot
77	where jay z was raised
78	where did the battle of new orleans start
79	when did manchester united first win a trophy
80	what all does stan kroenke own
81	who are the main trading partners of china
82	where are the florida marlins from
83	when countries joined the european union
84	what team did magic johnson play for
85	what language do people speak in turkey
86	what position does rafael furcal play
87	what form of government does canada have
88	what do they speak in austria
89	what is arlington texas zip code
90	where to travel in africa in january
91	what language people speak in belgium
92	what songs has madonna written
93	how much indiana jones movies are there
94	what time is in san diego california
95	where did macho camacho got shot at
96	what did fred goodwin do
97	what type of political system is headed by queen elizabeth ii
98	where was zachary taylor elected from
99	what city was robert kennedy killed in
100	what money do they use in china
101	what is julia gillard party
102	what country is the grand bahama island in
103	what secondary school did adolf hitler go to
104	who is ruling tunisia now
105	who voices ray in archer
106	when are school holidays in uk 2011
107	where is augusta golf masters
108	what to do around krabi thailand
109	what airport in paris
110	where did deion sanders play baseball
111	what type of language does china speak
112	where did gary coleman live when he died
113	what is the rainforest in peru called
114	what is the official language of china called
115	who is jennifer lawrence boyfriend 2012
116	what is the time zone in california called
117	when was bill clinton elected president
118	where to watch tv online for free in canada
119	what is the time zone in uk now
120	what hardships did teddy roosevelt overcome
121	what brand of guitar does steve vai play
122	what does thai mean
123	what is phoebe halliwell s real name
124	what language group does polish belong to
125	who married jessica simpson
126	when is the last time the chicago bulls won a championship
127	what happened to harvey smith
128	when does nasdaq start trading
129	what timezone is nevada in right now
130	who is francis bacon and what did he do
131	where was saint joseph from
132	what happened at fukushima daiichi nuclear plant
133	who does brandon dubinsky play for
134	what is there to do in mt baldy california
135	what language do you speak in iran
136	what landforms are found in italy
137	which country is to the north of the united states of america
138	who was wale signed to
139	what football teams did emmitt smith play for
140	what language do they speak in northern ireland
141	what did anna nicole smith died from
142	what 4 teams did wayne gretzky play for
143	what continent is the usa located in
144	what characters does seth macfarlane play in family guy
145	what style of music did louis armstrong play
146	in what state was the air force academy established
147	what type of strings does willie nelson use
148	who owns the new england patriots football team
149	what is the capital city of albania
150	who did bynum get traded to
151	what is the second percy jackson book called
152	what does andy warhol do
153	what movies has scarlett johansson in
154	who is the current governor of georgia 2011
155	what should i see in london england
156	what are the countries in the united kingdom
157	what songs did duane allman sing
158	where to visit in orlando florida
159	who did heidi klum date before seal
160	who owns skywest
161	what year did miami heat win the championship
162	what countries are located in the netherlands
163	what do the buddha believe in
164	what are the duggars kids full names
165	where are the ruins of pompeii
166	what are the 3 official languages of spain
167	who plays nana in the royal family
168	where did elvis presley started his career
169	what region is manchester england
170	what did brittany murphy died of
171	where is the singapore zoo
172	what is mexico city time zone
173	who was president when nelson rockefeller was vice president
174	what subatomic particles did jj thomson discover
175	who plays tommy oliver in power rangers
176	what to do in downtown waukesha
177	who won the nobel peace prize in 2011 for physics
178	where did pres obama go to school
179	what is the government of chile
180	who has dirk nowitzki played for
181	what made roald dahl famous
182	what money to take to sri lanka
183	who owns the steelers football team
184	who played lois en superman
185	what language do cyprus speak
186	who ran against bill clinton for president
187	who plays sarah wittle in jumanji
188	who is timothy hutton married to
189	where did caroline kennedy go to school
190	what professional baseball team did michael jordan play for
191	what is the currency in the republic of congo
192	what did camille grammer do for a living
193	what currency is used in germany 2012
194	who played anakin skywalker in phantom menace
195	where does the jordan river end
196	when did the aurora colorado shooting take place
197	where is husqvarna 235 made
198	what time is it in japan 24 hour clock
199	what are buddhist gods
200	where did pauley perrette go to college
201	where does the potomac river flow into
202	who are the current maryland senators
203	where is victoria beckham from
204	who played atticus finch in the movie
205	what sea does the yangtze river empty into
206	what is there to do around austin texas
207	where is the head office of hsbc bank
208	what did john quincy adams died of
209	what timezone is michigan usa
210	where did barack obama attend school
211	where is reggie bush from
212	when did the battle of thermopylae occur
213	who plays the brother in hannah montana
214	what was henry ford best known for
215	where does asiana airlines fly to
216	what airport do you fly into for clearwater florida
217	where was f scott fitzgerald education
218	what dialects are spoken in the uk
219	what movies have gerard butler been in
220	what timezone is colorado in
221	what year was the first miss america pageant
222	where is the bank of america pavilion
